         6515894713 function calls (6356657814 primitive calls) in 1951.075 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
 16467702    4.538    0.000    5.991    0.000 /Users/raphael/Documents/GitHub/order-batching/.venv/lib/python3.12/site-packages/pandas/core/indexes/base.py:791(is_)
 20530919    4.609    0.000    5.962    0.000 /Users/raphael/Documents/GitHub/order-batching/.venv/lib/python3.12/site-packages/pandas/core/construction.py:416(extract_array)
  8088418    1.198    0.000    5.948    0.000 /Users/raphael/Documents/GitHub/order-batching/.venv/lib/python3.12/site-packages/pandas/core/indexes/base.py:2776(_is_multi)
 20346882    4.568    0.000    5.945    0.000 /Users/raphael/Documents/GitHub/order-batching/.venv/lib/python3.12/site-packages/pandas/core/construction.py:735(_sanitize_str_dtypes)
 40658909    5.942    0.000    5.942    0.000 {built-in method __new__ of type object at 0x10105e0e8}
 36355926    4.350    0.000    5.869    0.000 /Users/raphael/Documents/GitHub/order-batching/.venv/lib/python3.12/site-packages/pandas/core/indexing.py:2781(<genexpr>)
 24195262    4.160    0.000    5.818    0.000 /Users/raphael/Documents/GitHub/order-batching/.venv/lib/python3.12/site-packages/pandas/core/indexing.py:992(_validate_key_length)
 16180476    4.560    0.000    5.802    0.000 /Users/raphael/Documents/GitHub/order-batching/.venv/lib/python3.12/site-packages/pandas/core/dtypes/common.py:1331(is_ea_or_datetimelike_dtype)
  4041745    0.917    0.000    5.788    0.000 /Users/raphael/Documents/GitHub/order-batching/.venv/lib/python3.12/site-packages/numpy/_core/_methods.py:43(_amax)
   157053    0.265    0.000    5.720    0.000 /Users/raphael/Documents/GitHub/order-batching/.venv/lib/python3.12/site-packages/pandas/core/series.py:6201(_construct_result)
 20271362    5.341    0.000    5.341    0.000 {built-in method numpy.empty}
  4027484    1.887    0.000    5.313    0.000 /Users/raphael/Documents/GitHub/order-batching/.venv/lib/python3.12/site-packages/pandas/core/common.py:389(standardize_mapping)
 12256637    3.824    0.000    5.161    0.000 /Users/raphael/Documents/GitHub/order-batching/.venv/lib/python3.12/site-packages/pandas/_config/config.py:676(_translate_key)
    92076    0.225    0.000    5.059    0.000 /Users/raphael/Documents/GitHub/order-batching/.venv/lib/python3.12/site-packages/pandas/core/ops/array_ops.py:288(comparison_op)
 49304679    5.024    0.000    5.024    0.000 {built-in method builtins.hash}
 40873352    4.927    0.000    4.927    0.000 /Users/raphael/Documents/GitHub/order-batching/.venv/lib/python3.12/site-packages/pandas/_config/__init__.py:34(using_copy_on_write)
  4104641    2.008    0.000    4.815    0.000 /Users/raphael/Documents/GitHub/order-batching/.venv/lib/python3.12/site-packages/pandas/core/internals/blocks.py:253(fill_value)
 36292893    4.697    0.000    4.697    0.000 /Users/raphael/Documents/GitHub/order-batching/.venv/lib/python3.12/site-packages/pandas/core/indexing.py:1180(<genexpr>)
    50056    0.105    0.000    4.694    0.000 /Users/raphael/Documents/GitHub/order-batching/.venv/lib/python3.12/site-packages/pandas/core/frame.py:4130(_getitem_bool_array)
  4073650    1.142    0.000    4.553    0.000 /Users/raphael/Documents/GitHub/order-batching/.venv/lib/python3.12/site-packages/pandas/core/indexes/base.py:4436(_wrap_reindex_result)
  4077542    0.590    0.000    4.497    0.000 /Users/raphael/Documents/GitHub/order-batching/.venv/lib/python3.12/site-packages/pandas/core/series.py:914(__len__)
